Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.2510		0.2993		0.0000		0.6555		0.00250000
2		0.2257		0.2920		0.0000		0.6541		0.00238721
3		0.2196		0.2883		0.0000		0.6552		0.00227383
4		0.2175		0.2869		0.0000		0.6554		0.00215982
5		0.2150		0.2823		0.0000		0.6576		0.00204513
6		0.2146		0.2820		0.0000		0.6589		0.00192972
7		0.2119		0.2840		0.0000		0.6554		0.00181354
8		0.2105		0.2813		0.0000		0.6588		0.00169653
9		0.2116		0.2847		0.0000		0.6564		0.00157861
10		0.2111		0.2833		0.0000		0.6571		0.00145971
11		0.2101		0.2799		0.0000		0.6599		0.00133972
12		0.2105		0.2788		0.0000		0.6609		0.00121852
13		0.2092		0.2792		0.0000		0.6597		0.00109596
14		0.2078		0.2778		0.0000		0.6611		0.00097185
15		0.2089		0.2788		0.0000		0.6596		0.00084596
16		0.2076		0.2802		0.0000		0.6611		0.00071794
17		0.2082		0.2775		0.0000		0.6601		0.00058731
18		0.2078		0.2788		0.0000		0.6604		0.00045334
19		0.2072		0.2763		0.0000		0.6626		0.00031473
20		0.2071		0.2753		0.0000		0.6637		0.00016866
