Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		13.8241		15.0843		0.0000		0.7416		0.00250000
2		13.7475		14.9863		0.0000		0.7400		0.00238721
3		13.7722		15.2830		0.0000		0.7367		0.00227383
4		13.8000		14.6985		0.0000		0.7309		0.00215982
5		13.6056		14.9535		0.0000		0.7301		0.00204513
6		13.6629		14.9322		0.0000		0.7387		0.00192972
7		13.6413		14.7584		0.0000		0.7351		0.00181354
8		13.6753		14.9126		0.0000		0.7413		0.00169653
9		13.7861		14.7706		0.0000		0.7413		0.00157861
10		13.7305		15.0099		0.0000		0.7326		0.00145971
11		13.7408		14.9534		0.0000		0.7360		0.00133972
12		13.7596		14.5602		0.0000		0.7325		0.00121852
13		13.7962		14.7679		0.0000		0.7390		0.00109596
14		13.5973		14.7635		0.0000		0.7375		0.00097185
15		13.5901		14.7219		0.0000		0.7327		0.00084596
16		13.7627		15.0287		0.0000		0.7373		0.00071794
17		13.7787		14.8682		0.0000		0.7346		0.00058731
18		13.7040		15.2366		0.0000		0.7335		0.00045334
19		13.7440		14.8299		0.0000		0.7426		0.00031473
20		13.8382		15.0516		0.0000		0.7358		0.00016866
