Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		9.1279		7.9995		0.0000		0.0125		0.00005000
2		7.1852		6.2186		0.0000		0.0236		0.00004774
3		5.6140		4.9035		0.0000		0.0512		0.00004548
4		4.4573		3.8849		0.0000		0.0830		0.00004320
5		3.6171		3.2008		0.0000		0.1201		0.00004090
6		3.0151		2.6888		0.0000		0.1476		0.00003859
7		2.5351		2.2567		0.0000		0.1735		0.00003627
8		2.1528		1.9688		0.0000		0.1885		0.00003393
9		1.8809		1.7317		0.0000		0.2275		0.00003157
10		1.6754		1.5606		0.0000		0.2510		0.00002919
1		9.1318		7.9649		0.0000		0.0124		0.00005000
2		7.1650		6.2090		0.0000		0.0238		0.00004774
3		5.6066		4.8504		0.0000		0.0506		0.00004548
4		4.4567		3.8312		0.0000		0.0824		0.00004320
5		3.6287		3.2204		0.0000		0.1211		0.00004090
6		3.0014		2.6677		0.0000		0.1485		0.00003859
7		2.5222		2.2641		0.0000		0.1725		0.00003627
8		2.1534		1.9765		0.0000		0.1876		0.00003393
9		1.8777		1.7409		0.0000		0.2278		0.00003157
10		1.6750		1.5653		0.0000		0.2510		0.00002919
11		1.5031		1.4338		0.0000		0.2659		0.00002679
12		1.3802		1.3267		0.0000		0.2811		0.00002437
13		1.2746		1.2316		0.0000		0.2928		0.00002192
14		1.1903		1.1597		0.0000		0.3069		0.00001944
15		1.1226		1.0988		0.0000		0.3187		0.00001692
16		1.0610		1.0549		0.0000		0.3283		0.00001436
17		1.0206		1.0170		0.0000		0.3344		0.00001175
18		0.9828		0.9923		0.0000		0.3371		0.00000907
19		0.9585		0.9692		0.0000		0.3407		0.00000629
20		0.9426		0.9568		0.0000		0.3419		0.00000337
