Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		8.9754		7.8661		0.0000		0.0121		0.00005000
2		7.3086		6.3415		0.0000		0.0173		0.00005000
3		5.8829		5.1887		0.0000		0.0370		0.00005000
4		4.7270		4.1809		0.0000		0.0788		0.00005000
5		3.8829		3.4431		0.0000		0.1174		0.00005000
6		3.2064		2.8693		0.0000		0.1502		0.00005000
7		2.8897		2.8428		0.0000		0.1498		0.00000500
8		2.8472		2.7969		0.0000		0.1574		0.00000500
9		2.7834		2.7509		0.0000		0.1571		0.00000500
10		2.7319		2.6947		0.0000		0.1621		0.00000500
11		2.6763		2.6179		0.0000		0.1685		0.00000500
12		2.6241		2.5722		0.0000		0.1726		0.00000500
13		2.5796		2.5368		0.0000		0.1746		0.00000500
14		2.5460		2.5163		0.0000		0.1772		0.00000050
15		2.5426		2.5314		0.0000		0.1765		0.00000050
16		2.5400		2.5175		0.0000		0.1783		0.00000050
17		2.5402		2.5227		0.0000		0.1777		0.00000050
18		2.5275		2.4914		0.0000		0.1797		0.00000050
19		2.5108		2.5309		0.0000		0.1782		0.00000050
20		2.5167		2.5005		0.0000		0.1803		0.00000050
