Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.1094		0.2603		0.0000		0.7198		0.00005000
2		0.1094		0.2569		0.0000		0.7215		0.00004774
3		0.1094		0.2570		0.0000		0.7202		0.00004548
4		0.1088		0.2567		0.0000		0.7206		0.00004320
5		0.1092		0.2559		0.0000		0.7214		0.00004090
6		0.1094		0.2551		0.0000		0.7218		0.00003859
7		0.1091		0.2562		0.0000		0.7177		0.00003627
8		0.1089		0.2563		0.0000		0.7198		0.00003393
9		0.1093		0.2551		0.0000		0.7205		0.00003157
10		0.1090		0.2568		0.0000		0.7202		0.00002919
11		0.1091		0.2548		0.0000		0.7186		0.00002679
12		0.1091		0.2547		0.0000		0.7172		0.00002437
13		0.1096		0.2552		0.0000		0.7201		0.00002192
14		0.1094		0.2564		0.0000		0.7192		0.00001944
15		0.1094		0.2544		0.0000		0.7181		0.00001692
16		0.1089		0.2542		0.0000		0.7199		0.00001436
17		0.1099		0.2541		0.0000		0.7214		0.00001175
18		0.1095		0.2534		0.0000		0.7185		0.00000907
19		0.1092		0.2540		0.0000		0.7192		0.00000629
20		0.1089		0.2531		0.0000		0.7218		0.00000337
