Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.1493		1.2151		0.0000		0.7219		0.00005000
2		0.9503		1.0096		0.0000		0.7181		0.00004774
3		0.7649		0.8316		0.0000		0.7220		0.00004548
4		0.6129		0.6863		0.0000		0.7165		0.00004320
5		0.5153		0.6142		0.0000		0.6991		0.00004090
6		0.4594		0.5747		0.0000		0.6907		0.00003859
7		0.4271		0.5502		0.0000		0.6856		0.00003627
8		0.4040		0.5162		0.0000		0.6852		0.00003393
9		0.3889		0.4887		0.0000		0.6882		0.00003157
10		0.3769		0.4858		0.0000		0.6909		0.00002919
11		0.3698		0.4706		0.0000		0.6941		0.00002679
12		0.3640		0.4589		0.0000		0.6933		0.00002437
13		0.3598		0.4527		0.0000		0.6934		0.00002192
14		0.3568		0.4501		0.0000		0.7005		0.00001944
15		0.3555		0.4538		0.0000		0.6960		0.00001692
16		0.3518		0.4412		0.0000		0.6983		0.00001436
17		0.3496		0.4408		0.0000		0.7003		0.00001175
18		0.3493		0.4416		0.0000		0.6999		0.00000907
19		0.3483		0.4389		0.0000		0.6998		0.00000629
20		0.3465		0.4314		0.0000		0.6989		0.00000337
