Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		3.0582		3.0241		0.0000		0.0184		0.00005000
2		2.9990		2.9659		0.0000		0.0258		0.00004774
3		2.9390		2.9052		0.0000		0.0461		0.00004548
4		2.8812		2.8517		0.0000		0.0712		0.00004320
5		2.8279		2.7999		0.0000		0.0756		0.00004090
6		2.7793		2.7552		0.0000		0.0836		0.00003859
7		2.7355		2.7128		0.0000		0.0903		0.00003627
8		2.6961		2.6780		0.0000		0.1195		0.00003393
9		2.6616		2.6451		0.0000		0.1350		0.00003157
10		2.6309		2.6164		0.0000		0.1392		0.00002919
11		2.6043		2.5920		0.0000		0.1425		0.00002679
12		2.5811		2.5692		0.0000		0.1456		0.00002437
13		2.5609		2.5508		0.0000		0.1497		0.00002192
14		2.5436		2.5355		0.0000		0.1551		0.00001944
15		2.5290		2.5223		0.0000		0.1599		0.00001692
16		2.5168		2.5101		0.0000		0.1657		0.00001436
17		2.5072		2.5031		0.0000		0.1699		0.00001175
18		2.4993		2.4956		0.0000		0.1730		0.00000907
19		2.4936		2.4911		0.0000		0.1779		0.00000629
20		2.4900		2.4888		0.0000		0.1763		0.00000337
