Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.2404		2.0162		0.0000		0.1248		0.00005000
2		1.8101		1.6985		0.0000		0.1507		0.00004774
3		1.5493		1.4746		0.0000		0.1568		0.00004548
4		1.3632		1.3169		0.0000		0.1734		0.00004320
5		1.2149		1.1895		0.0000		0.2061		0.00004090
6		1.0973		1.0774		0.0000		0.2144		0.00003859
7		1.0028		0.9924		0.0000		0.2185		0.00003627
8		0.9278		0.9244		0.0000		0.2210		0.00003393
9		0.8672		0.8826		0.0000		0.2281		0.00003157
10		0.8183		0.8298		0.0000		0.2540		0.00002919
11		0.7782		0.7932		0.0000		0.2671		0.00002679
12		0.7470		0.7756		0.0000		0.2712		0.00002437
13		0.7223		0.7563		0.0000		0.2732		0.00002192
14		0.7011		0.7326		0.0000		0.2745		0.00001944
15		0.6849		0.7296		0.0000		0.2755		0.00001692
16		0.6716		0.7153		0.0000		0.2762		0.00001436
17		0.6611		0.7011		0.0000		0.2766		0.00001175
18		0.6547		0.6949		0.0000		0.2768		0.00000907
19		0.6487		0.6957		0.0000		0.2772		0.00000629
20		0.6451		0.6925		0.0000		0.2773		0.00000337
