Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.9398		2.9407		0.0000		0.7170		0.00005000
2		2.9390		2.9401		0.0000		0.7129		0.00004774
3		2.9386		2.9397		0.0000		0.7108		0.00004548
4		2.9382		2.9392		0.0000		0.7045		0.00004320
5		2.9377		2.9385		0.0000		0.7025		0.00004090
6		2.9369		2.9375		0.0000		0.6984		0.00003859
7		2.9356		2.9359		0.0000		0.6839		0.00003627
8		2.9346		2.9351		0.0000		0.6672		0.00003393
9		2.9340		2.9345		0.0000		0.6658		0.00003157
10		2.9337		2.9342		0.0000		0.6656		0.00002919
11		2.9334		2.9340		0.0000		0.6685		0.00002679
12		2.9333		2.9338		0.0000		0.6700		0.00002437
13		2.9331		2.9337		0.0000		0.6747		0.00002192
14		2.9331		2.9337		0.0000		0.6716		0.00001944
15		2.9330		2.9336		0.0000		0.6670		0.00001692
16		2.9330		2.9336		0.0000		0.6709		0.00001436
17		2.9330		2.9336		0.0000		0.6662		0.00001175
18		2.9329		2.9335		0.0000		0.6702		0.00000907
19		2.9330		2.9335		0.0000		0.6694		0.00000629
20		2.9329		2.9336		0.0000		0.6677		0.00000337
