Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.3707		0.5216		0.0000		0.7191		0.00005000
2		0.3278		0.4766		0.0000		0.7176		0.00004774
3		0.2901		0.4371		0.0000		0.7151		0.00004548
4		0.2590		0.4075		0.0000		0.7166		0.00004320
5		0.2408		0.3936		0.0000		0.7165		0.00004090
6		0.2322		0.3832		0.0000		0.7173		0.00003859
7		0.2262		0.3770		0.0000		0.7160		0.00003627
8		0.2221		0.3741		0.0000		0.7180		0.00003393
9		0.2193		0.3664		0.0000		0.7185		0.00003157
10		0.2162		0.3603		0.0000		0.7146		0.00002919
11		0.2146		0.3604		0.0000		0.7182		0.00002679
12		0.2123		0.3548		0.0000		0.7165		0.00002437
13		0.2115		0.3542		0.0000		0.7167		0.00002192
14		0.2107		0.3535		0.0000		0.7189		0.00001944
15		0.2097		0.3511		0.0000		0.7144		0.00001692
16		0.2096		0.3530		0.0000		0.7176		0.00001436
17		0.2089		0.3538		0.0000		0.7162		0.00001175
18		0.2082		0.3517		0.0000		0.7178		0.00000907
19		0.2078		0.3497		0.0000		0.7194		0.00000629
20		0.2085		0.3513		0.0000		0.7186		0.00000337
